SpectrumID	#Scan#	SpectrumFile	LibraryName	MQScore	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	Organism	LibMZ	UpdateWorkflowName	LibraryQualityString	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway	library_usi
CCMSLIB00003140027	154	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.986414	1010850.0	0	15.2125	18	0.00631714	415.254	1	temp/spectra_filtered.mgf154	1	Spectral Match to Nonaethylene glycol from NIST14	ESI	QQQ	Isolated	Data from Rob Knight and Pieter Dorrestein	Data deposited by fevargas	M+H	415.26	414.246	1	3386183	N/A	C(COCCOCCOCCOCCOCCOCCOCCOCCO)O	InChI=1S/C18H38O10/c19-1-3-21-5-7-23-9-11-25-13-15-27-17-18-28-16-14-26-12-10-24-8-6-22-4-2-20/h19-20H,1-18H2	N/A	3	Positive	GNPS-NIST14-MATCHES	415.26	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C18H38O10	YZUUTMGDONTGTN-UHFFFAOYSA-N	YZUUTMGDONTGTN	N/A	N/A	N/A	Glycerolipids	Monoacylglycerols	Fatty acids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003140027
CCMSLIB00003137492	222	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.983792	123240.0	0	2.46265	10	0.000701904	285.021	1	temp/spectra_filtered.mgf222	1	Spectral Match to Sulfachloropyridazine from NIST14	ESI	QqQ	Isolated	Data from Rob Knight	Data deposited by aaksenov	M+H	285.02	0.0	1	80320	N/A	N/A	N/A	N/A	3	Positive	GNPS-NIST14-MATCHES	285.02	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003137492
CCMSLIB00012716715	1975	spectra_filtered.mgf	GNPS-N-ACYL-LIPIDS-MASSQL.mgf	0.978382	88387.0	0	4.03581	8	0.00109863	272.222	1	temp/spectra_filtered.mgf1975	1	Candidate Alanine/Sarcosine-C12:0 (delta mass:182.1665)	LC-ESI	Orbitrap	Crude	Pieter Dorrestein	helenamrusso	M+H	272.221	272.221	0	N/A	N/A	N/A	N/A	N/A	4	Positive	GNPS-N-ACYL-LIPIDS-MASSQL	272.221	UPDATE-SINGLE-ANNOTATED-BRONZE	Insilico		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012716715
CCMSLIB00000577480	2083	spectra_filtered.mgf	GNPS-LIBRARY.mgf	0.975391	138732.0	0	7.69405	7	0.0032959	428.373	1	temp/spectra_filtered.mgf2083	1	Sorbitane Monooleate - Polysorbate 20 in-source fragment	LC-ESI	qTof	Lysate	PDorrestein	AMelnik	M+H	428.37	0.0	0	 	 	CCCCCCCCC=CCCCCCCCC(=O)OCC(C1C(C(CO1)O)O)O	InChI=1S/C24H44O6/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-22(27)29-19-21(26)24-23(28)20(25)18-30-24/h9-10,20-21,23-26,28H,2-8,11-19H2,1H3	 	3	Positive	GNPS-LIBRARY	428.37	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C24H44O6	NWGKJDSIEKMTRX-UHFFFAOYSA-N	NWGKJDSIEKMTRX	N/A	N/A	N/A	Fatty esters	Wax monoesters	Fatty acids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000577480
CCMSLIB00000222069	19	spectra_filtered.mgf	MASSBANK.mgf	0.975173	14840.0	0	2.41132	7	0.000701904	291.086	1	temp/spectra_filtered.mgf19	1	Massbank:PB001338 Epicatechin|(2R,3R)-2-(3,4-dihydroxyphenyl)chroman-3,5,7-triol	ESI	LC-ESI-QTOF	Isolated	Putative Massbank Match	Massbank	[M+H]+	291.087	0.0	1	N/A	N/A	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O	1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15-/m1/s1	N/A	3	Positive	MASSBANK	291.087	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C15H14O6	PFTAWBLQPZVEMU-UHFFFAOYSA-N	PFTAWBLQPZVEMU	N/A	N/A	N/A	Flavonoids	Flavan-3-ols	Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000222069
CCMSLIB00000531495	1956	spectra_filtered.mgf	GNPS-LIBRARY.mgf	0.972522	302382.0	0	31.4914	7	0.00958252	304.3	1	temp/spectra_filtered.mgf1956	1	Benzalkonium chloride (C12)	LC-ESI	qTof	Lysate	Dorrestein	Quinn	M+H	304.29	0.0	1	 	 	 	 	 	3	Positive	GNPS-LIBRARY	304.29	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	Quaternary Ammonium Compound[Chemical Family]	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000531495
CCMSLIB00013655233	2858	spectra_filtered.mgf	GNPS-DRUG-ANALOG.mgf	0.969396	84088.0	0	3.09289	11	0.00152588	493.349	1	temp/spectra_filtered.mgf2858	1	related spectra of 'Tricaprylin  (Delta Mass:4.955)'	LC-ESI	Orbitrap	Crude	Pieter Dorrestein	Nina Zhao	M+NH4	493.351	0.0	1	N/A	N/A	N/A	N/A	N/A	3	Positive	GNPS-DRUG-ANALOG	493.351	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00013655233
CCMSLIB00005775317	2437	spectra_filtered.mgf	MASSBANK.mgf	0.968991	354986.0	0	0.628807	6	0.000183105	291.195	1	temp/spectra_filtered.mgf2437	1	Massbank:AU250201 Octyl-methoxycinnamate|Octinoxate|2-ethylhexyl (E)-3-(4-methoxyphenyl)prop-2-enoate	ESI	qTof	Isolated	Massbank	Massbank	M+H	291.195	0.0	1	5466-77-3	N/A	CCCCC(CC)COC(=O)\C=C\C1=CC=C(OC)C=C1	1S/C18H26O3/c1-4-6-7-15(5-2)14-21-18(19)13-10-16-8-11-17(20-3)12-9-16/h8-13,15H,4-7,14H2,1-3H3/b13-10+	N/A	3	Positive	MASSBANK	291.195	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C18H26O3	YBGZDTIWKVFICR-JLHYYAGUSA-N	YBGZDTIWKVFICR	N/A	N/A	N/A	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00005775317
CCMSLIB00003137228	123	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.967712	165644.0	0	2.92755	7	0.000793457	271.032	1	temp/spectra_filtered.mgf123	1	Spectral Match to Sulfamethizole from NIST14	ESI	QQQ	Isolated	Data from System Wide MS course 	Data deposited by daniel	M+H	271.031	270.025	1	144821	N/A	CC1=NN=C(S1)NS(=O)(=O)C2=CC=C(C=C2)N	InChI=1S/C9H10N4O2S2/c1-6-11-12-9(16-6)13-17(14,15)8-4-2-7(10)3-5-8/h2-5H,10H2,1H3,(H,12,13)	N/A	3	Positive	GNPS-NIST14-MATCHES	271.031	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C9H10N4O2S2	VACCAVUAMIDAGB-UHFFFAOYSA-N	VACCAVUAMIDAGB	N/A	N/A	N/A				mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003137228
CCMSLIB00013654763	1011	spectra_filtered.mgf	GNPS-DRUG-ANALOG.mgf	0.966487	53803.0	0	2.57897	7	0.000701904	272.164	1	temp/spectra_filtered.mgf1011	1	"""related spectra of 'Massbank:AU267102 Diphenhydramine|2-benzhydryloxy-N,N-dimethylethanamine (Delta Mass:15.995)'"""	LC-ESI	Orbitrap	Crude	Pieter Dorrestein	Nina Zhao	M+H	272.165	0.0	1	N/A	N/A	N/A	N/A	N/A	3	Positive	GNPS-DRUG-ANALOG	272.165	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00013654763
