formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
3	C4H10BO3P	[M + H]+	C4H11BO3P+	Fatty acids	0.046	Monoterpenoids	0.118	Halogenated fatty acids	0.038	Organic salts	0.955	Organic metal salts	0.940	Organic metalloid salts	0.940			Organic metalloid salts	0.940	Organic compounds; Organic acids and derivatives; Organooxygen compounds; Organophosphorus compounds; Organometallic compounds; Organometalloid compounds; Organoboron compounds; Organic salts; Organic oxides; Organic metalloid salts; Organic metal salts; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	148.057	106	1.770	703047519396503832	703045647189205583	10	
3	C20H26N4O2	[M + Na]+	C20H26N4NaO2+	Alkaloids	0.590	Small peptides	0.292	Pyridine alkaloids	0.092	Organic acids and derivatives	0.781	Carboxylic acids and derivatives	0.726	Amino acids, peptides, and analogues	0.721	Amino acids and derivatives	0.722	Amino acids and derivatives	0.722	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Pyridines and derivatives; Phenylmethylamines; Piperazines; Piperidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Trialkylamines; Benzene and substituted derivatives; Diazinanes; Benzenoids; Amines; Tertiary amines; Tertiary alkylarylamines; Benzylamines; N-alkylpiperazines; Aralkylamines; Dialkylarylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	377.192	107	1.780	703047548660167363	703045646593614390	3	
1	C10H22O6	[M + H]+	C10H23O6+	Fatty acids	0.802	Fatty acyls	0.515	Fatty alcohols	0.439	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.990	Dialkyl ethers	0.991	Polyethylene glycols	0.986	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	239.148	107	1.780	703047535263558763	703045647105319498	9	
1	C10H22O6	[M + H3N + H]+	C10H26NO6+	Fatty acids	0.794	Fatty acyls	0.518	Fatty alcohols	0.436	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.990	Dialkyl ethers	0.991	Polyethylene glycols	0.985	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	256.174	107	1.780	703047513323150520	703045647352783449	12	
2	C4H11O3P	[M + H]+	C4H12O3P+	Fatty acids	0.586	Fatty acyls	0.217	Fatty alcohols	0.011	Organic acids and derivatives	0.847	Organic phosphonic acids and derivatives	0.681	Organic phosphonic acids	0.610			Organic phosphonic acids	0.610	Organic compounds; Organic acids and derivatives; Organophosphorus compounds; Organic phosphonic acids and derivatives; Organic phosphonic acids; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Chemical entities	139.052	107	1.784	703047523410453717	703045646887215680	6	
3	C8H16N6O4	[M + H]+	C8H17N6O4+	Amino acids and Peptides	0.529	Small peptides	0.564	Aminoacids	0.198	Organoheterocyclic compounds	0.603	Azacyclic compounds	0.508					Azacyclic compounds	0.508	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	261.131	107	1.784	703047523515311376	703045647273091668	11	
7	C14H21O5P	[M + Na]+	C14H21NaO5P+	Terpenoids	0.288	Monoterpenoids	0.092	Menthane monoterpenoids	0.014	Benzenoids	0.640							Benzenoids	0.640	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Organophosphorus compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carbonyl compounds; Benzenoids; Organic oxides; Oxacyclic compounds; Phosphacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Chemical entities	323.101	108	1.793	703047546307162485	703045647000461893	8	
1	C10H17NS	[M + Na]+	C10H17NNaS+	Alkaloids	0.753	Pseudoalkaloids (transamidation)	0.174	Phenylalanine-derived alkaloids	0.249	Organic nitrogen compounds	0.987	Organonitrogen compounds	0.984					Organonitrogen compounds	0.984	Organic compounds; Organosulfur compounds; Organonitrogen compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	206.099	108	1.798	703047539218787810	703045646790746683	4	
1	C16H20N4O8	[M + H]+	C16H21N4O8+	Alkaloids	0.650	Nicotinic acid alkaloids	0.196	Pyridine alkaloids	0.195	Organic acids and derivatives	0.955	Carboxylic acids and derivatives	0.900	Amino acids, peptides, and analogues	0.717	Amino acids and derivatives	0.716	Alpha amino acids	0.606	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Organic nitro compounds; Carboxylic acids; Organic oxoazanium compounds; Carbonyl compounds; Alpha amino acids; Benzenoids; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities	397.138	120	2.004	703047559007515999	703045647520555619	14	
4	C15H26O8	[M + H]+	C15H27O8+	Terpenoids	0.355	Fatty acyl glycosides	0.317	Fatty acyl glycosides of mono- and disaccharides	0.440	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbohydrates and carbohydrate conjugates	0.934	Monosaccharides	0.917	Hexoses	0.699	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Fatty Acyls; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	335.167	120	2.004	703047530175867329	703045647667356269	16	
