SpectrumID	#Scan#	SpectrumFile	LibraryName	MQScore	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	Organism	LibMZ	UpdateWorkflowName	LibraryQualityString	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway	library_usi
CCMSLIB00006121139	1876	spectra_filtered.mgf	BIRMINGHAM-UHPLC-MS-NEG.mgf	0.992641	21389.0	0	13111.1	4	1.9803	149.06	1	temp/spectra_filtered.mgf1876	1	3-Methyl-4-hydroxybenzoic acid - 40.0 eV	ESI	Orbitrap	Isolated	PI	Data Collector	M-H	151.04	0.0	1		N/A	Cc1cc(ccc1O)C(=O)O	InChI=1S/C8H8O3/c1-5-4-6(8(10)11)2-3-7(5)9/h2-4,9H,1H3,(H,10,11)	N/A	1	Negative	BIRMINGHAM-UHPLC-MS-NEG	151.04	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C8H8O3	LTFHNKUKQYVHDX-UHFFFAOYSA-N	LTFHNKUKQYVHDX	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Phenolic acids (C6-C1)	Simple phenolic acids	Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006121139
CCMSLIB00003140027	154	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.986414	1010850.0	0	15.2125	18	0.00631714	415.254	1	temp/spectra_filtered.mgf154	1	Spectral Match to Nonaethylene glycol from NIST14	ESI	QQQ	Isolated	Data from Rob Knight and Pieter Dorrestein	Data deposited by fevargas	M+H	415.26	414.246	1	3386183	N/A	C(COCCOCCOCCOCCOCCOCCOCCOCCO)O	InChI=1S/C18H38O10/c19-1-3-21-5-7-23-9-11-25-13-15-27-17-18-28-16-14-26-12-10-24-8-6-22-4-2-20/h19-20H,1-18H2	N/A	3	Positive	GNPS-NIST14-MATCHES	415.26	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C18H38O10	YZUUTMGDONTGTN-UHFFFAOYSA-N	YZUUTMGDONTGTN	Organic oxygen compounds	Organooxygen compounds	Ethers	Glycerolipids	Monoacylglycerols	Fatty acids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003140027
CCMSLIB00003137492	222	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.983792	123240.0	0	2.46265	10	0.000701904	285.021	1	temp/spectra_filtered.mgf222	1	Spectral Match to Sulfachloropyridazine from NIST14	ESI	QqQ	Isolated	Data from Rob Knight	Data deposited by aaksenov	M+H	285.02	0.0	1	80320	N/A	N/A	N/A	N/A	3	Positive	GNPS-NIST14-MATCHES	285.02	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003137492
CCMSLIB00003139462	1535	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.983579	13400.0	0	2.24071	4	0.000396729	177.055	1	temp/spectra_filtered.mgf1535	1	Spectral Match to Diethyl phthalate from NIST14	ESI	QqQ	Isolated	Data from Wolfender/Litaudon	Data deposited by pmallard	M+H-C2H6O	177.055	0.0	1	84662	N/A	N/A	N/A	N/A	3	Positive	GNPS-NIST14-MATCHES	177.055	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003139462
CCMSLIB00000577482	2059	spectra_filtered.mgf	GNPS-LIBRARY.mgf	0.978897	119714.0	0	6.14356	4	0.00247192	402.358	1	temp/spectra_filtered.mgf2059	1	Sorbitane Monopalmitate - Polysorbate 40 in-source fragment	LC-ESI	qTof	Lysate	PDorrestein	AMelnik	M+H	402.36	0.0	0	 	 	CCCCCCCCCCCCCCCC(=O)OCC(C1C(C(CO1)O)O)O	InChI=1S/C22H42O6/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-20(25)27-17-19(24)22-21(26)18(23)16-28-22/h18-19,21-24,26H,2-17H2,1H3	 	3	Positive	GNPS-LIBRARY	402.36	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	Nonionic Surfactant[Source Environment]	C22H42O6	IYFATESGLOUGBX-UHFFFAOYSA-N	IYFATESGLOUGBX	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters	Fatty esters	Wax monoesters	Fatty acids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000577482
CCMSLIB00012716715	1975	spectra_filtered.mgf	GNPS-N-ACYL-LIPIDS-MASSQL.mgf	0.978382	88387.0	0	4.03581	8	0.00109863	272.222	1	temp/spectra_filtered.mgf1975	1	Candidate Alanine/Sarcosine-C12:0 (delta mass:182.1665)	LC-ESI	Orbitrap	Crude	Pieter Dorrestein	helenamrusso	M+H	272.221	272.221	0	N/A	N/A	N/A	N/A	N/A	4	Positive	GNPS-N-ACYL-LIPIDS-MASSQL	272.221	UPDATE-SINGLE-ANNOTATED-BRONZE	Insilico		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012716715
CCMSLIB00003138910	2271	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.977333	217992.0	0	83.9471	7	0.0526733	627.406	1	temp/spectra_filtered.mgf2271	1	Spectral Match to Glycerol 1-myristate from NIST14	ESI	QQQ	Isolated	Data from Pieter Dorrestein	Data deposited by mwang87	2M+Na	627.459	302.246	1	589684	N/A	CCCCCCCCCCCCCC(=O)OCC(CO)O	InChI=1S/C17H34O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-17(20)21-15-16(19)14-18/h16,18-19H,2-15H2,1H3	N/A	3	Positive	GNPS-NIST14-MATCHES	627.459	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C17H34O4	DCBSHORRWZKAKO-UHFFFAOYSA-N	DCBSHORRWZKAKO	Lipids and lipid-like molecules	Glycerolipids	Monoradylglycerols	Glycerolipids	Monoacylglycerols	Fatty acids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003138910
CCMSLIB00000577480	2083	spectra_filtered.mgf	GNPS-LIBRARY.mgf	0.97691	138732.0	0	7.69405	8	0.0032959	428.373	1	temp/spectra_filtered.mgf2083	1	Sorbitane Monooleate - Polysorbate 20 in-source fragment	LC-ESI	qTof	Lysate	PDorrestein	AMelnik	M+H	428.37	0.0	0	 	 	CCCCCCCCC=CCCCCCCCC(=O)OCC(C1C(C(CO1)O)O)O	InChI=1S/C24H44O6/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-22(27)29-19-21(26)24-23(28)20(25)18-30-24/h9-10,20-21,23-26,28H,2-8,11-19H2,1H3	 	3	Positive	GNPS-LIBRARY	428.37	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C24H44O6	NWGKJDSIEKMTRX-UHFFFAOYSA-N	NWGKJDSIEKMTRX	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters	Fatty esters	Wax monoesters	Fatty acids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000577480
CCMSLIB00000531495	1956	spectra_filtered.mgf	GNPS-LIBRARY.mgf	0.97662	302382.0	0	31.4914	11	0.00958252	304.3	1	temp/spectra_filtered.mgf1956	1	Benzalkonium chloride (C12)	LC-ESI	qTof	Lysate	Dorrestein	Quinn	M+H	304.29	0.0	1	 	 	 	 	 	3	Positive	GNPS-LIBRARY	304.29	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	Quaternary Ammonium Compound[Chemical Family]	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000531495
CCMSLIB00000222069	19	spectra_filtered.mgf	MASSBANK.mgf	0.975173	14840.0	0	2.41132	7	0.000701904	291.086	1	temp/spectra_filtered.mgf19	1	Massbank:PB001338 Epicatechin|(2R,3R)-2-(3,4-dihydroxyphenyl)chroman-3,5,7-triol	ESI	LC-ESI-QTOF	Isolated	Putative Massbank Match	Massbank	[M+H]+	291.087	0.0	1	N/A	N/A	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O	1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15-/m1/s1	N/A	3	Positive	MASSBANK	291.087	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C15H14O6	PFTAWBLQPZVEMU-UHFFFAOYSA-N	PFTAWBLQPZVEMU	Phenylpropanoids and polyketides	Flavonoids	Flavans	Flavonoids	Flavan-3-ols	Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000222069
