ID,comp1,GroupContrib,importance,mz,RT,Corr_ID,Compound_Name,Compound_Name_2,cytoscape_annotation
2296,3.0853175684336596,High,0.1343985442148428,204.62452272901547,6.766664,NA,NA,NA,"(m/z: 204.62, RT: 6.77)"
2411,2.9668050235510095,High,0.12923605667502347,515.3552342631615,7.0067725,NA,NA,NA,"(m/z: 515.36, RT: 7.01)"
2451,2.7926631088206095,High,0.12165031572374987,559.3812639595161,6.997226,NA,NA,NA,"(m/z: 559.38, RT: 7)"
2426,2.770270932915905,High,0.12067489722090748,497.3448211,7.203925,NA,NA,NA,"(m/z: 497.34, RT: 7.2)"
2375,2.721284392686256,High,0.11854101001255472,471.3286915563076,7.006284,NA,NA,NA,"(m/z: 471.33, RT: 7.01)"
2610,2.6946944275253273,High,0.11738273293763872,613.4281228700589,7.7042484,52,NA,NA,"(m/z: 613.43, RT: 7.7)"
2618,2.688456762325913,High,0.1171110159738234,569.4019539427555,7.7257023,52,NA,NA,"(m/z: 569.4, RT: 7.73)"
2622,2.6462709946988885,High,0.1152733750730405,525.3755631888585,7.7421246,NA,NA,NA,"(m/z: 525.38, RT: 7.74)"
2599,2.640264440809667,High,0.11501172547602052,657.4544433118286,7.6823606,NA,NA,NA,"(m/z: 657.45, RT: 7.68)"
2587,2.632808236353094,High,0.11468692810845472,701.4805926035338,7.6597376,NA,NA,NA,"(m/z: 701.48, RT: 7.66)"
2405,2.621070958893491,High,0.11417564427182292,585.3968779,7.168513,28,NA,NA,"(m/z: 585.4, RT: 7.17)"
2294,2.604527296548916,High,0.11345499102113614,351.25038316780547,6.764649,NA,NA,NA,"(m/z: 351.25, RT: 6.76)"
2417,2.5917345954553617,High,0.11289773220890235,541.3706752631526,7.188982,28,NA,NA,"(m/z: 541.37, RT: 7.19)"
2314,2.528930702984552,Low,-0.110161952,314.26888047378577,6.7934947,NA,Candidate Alanine/Sarcosine-C15:0 (delta mass:224.2139),Alanine/Sarcosine-C15:0,"Alanine/Sarcosine-C15:0 (m/z: 314.27, RT: 6.79)"
2401,2.519304218084572,High,0.1097426154147152,629.4230712,7.148716,28,NA,NA,"(m/z: 629.42, RT: 7.15)"
2062,2.493399372745607,High,0.10861418262799397,323.21916704846126,6.0834303,NA,NA,NA,"(m/z: 323.22, RT: 6.08)"
2259,2.473909977043691,High,0.1077652112168292,213.62984608512096,6.6858587,NA,NA,NA,"(m/z: 213.63, RT: 6.69)"
2441,2.3006272217710824,Low,-0.100216896,282.27896398637176,7.2342124,NA,"Spectral Match to 9-Octadecenamide, (Z)- from NIST14",9-Octadecenamide,"9-Octadecenamide (m/z: 282.28, RT: 7.23)"
2067,2.287758673694929,Low,-0.099656333,308.2195106286732,6.1158485,NA,NA,NA,"(m/z: 308.22, RT: 6.12)"
2190,2.2730170442783004,High,0.099014178,557.3657477,6.5390525,NA,NA,NA,"(m/z: 557.37, RT: 6.54)"
2287,2.2697143161294218,High,0.098870309,329.2684461904695,6.7596135,NA,Spectral Match to Monopalmitolein (9c) from NIST14,Monopalmitolein (9c),"Monopalmitolein (9c) (m/z: 329.27, RT: 6.76)"
2326,2.2293968914537396,High,0.097114054,615.4075294601006,6.837975,NA,NA,NA,"(m/z: 615.41, RT: 6.84)"
1892,2.171725496742403,Low,-0.094601849,280.1882017487096,5.427825,NA,NA,NA,"(m/z: 280.19, RT: 5.43)"
2394,2.171323344464556,High,0.09458433,673.4490997,7.129236,NA,NA,NA,"(m/z: 673.45, RT: 7.13)"
2533,2.100997540153082,High,0.09152089,599.41272081123725,7.463626,NA,NA,NA,"(m/z: 599.41, RT: 7.46)"
2510,2.0741580193293565,High,0.090351742,379.2816389333617,7.350367,NA,NA,NA,"(m/z: 379.28, RT: 7.35)"
2330,2.073663393043497,High,0.090330196,571.3812317556732,6.8555856,NA,NA,NA,"(m/z: 571.38, RT: 6.86)"
