Feature,mz,RT,Corr_ID,Compound_Name,Adduct,formulaRank,molecularFormula,adduct,precursorFormula,NPC#pathway,NPC#pathway Probability,NPC#superclass,NPC#superclass Probability,NPC#class,NPC#class Probability,ClassyFire#superclass,ClassyFire#superclass probability,ClassyFire#class,ClassyFire#class Probability,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#level 5,ClassyFire#level 5 Probability,ClassyFire#most specific class,ClassyFire#most specific class Probability,ClassyFire#all classifications,ionMass,retentionTimeInSeconds,retentionTimeInMinutes,formulaId,alignedFeatureId,overallFeatureQuality,featureId
1663,99.53118417090816,4.9725103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,121.0649483021815,2.7478166,47,NA,NA,2,C8H10O2,[M - H2O + H]+,C8H9O+,Shikimates and Phenylpropanoids,0.983,Phenylethanoids (C6-C2),0.993,Phenylethanoids,0.993,Benzenoids,0.998,Phenols,0.962,Tyrosols and derivatives,0.706,Tyrosols,0.736,Tyrosols,0.736,Organic compounds; Alcohols and polyols; Phenols; Tyrosols and derivatives; Primary alcohols; Organooxygen compounds; Benzene and substituted derivatives; Benzenoids; Tyrosols; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities,121.065,164,2.742,703050088994979500,703045655917552900,NA,224
216,139.0468449170333,2.7453978,46,NA,NA,3,C7H8NS,[M + H]+,C7H9NS+,Alkaloids,0.197,Nicotinic acid alkaloids,0.291,Pyridine alkaloids,0.291,Benzenoids,0.952,Benzene and substituted derivatives,0.874,NA,NA,NA,NA,Benzene and substituted derivatives,0.874,Organic compounds; Organosulfur compounds; Organonitrogen compounds; Benzene and substituted derivatives; Benzenoids; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities,139.047,166,2.762,703050234956762100,703045655628145900,NA,216
6,139.05158274969796,1.7974038,NA,NA,NA,2,C4H11O3P,[M + H]+,C4H12O3P+,Fatty acids,0.586,Fatty acyls,0.217,Fatty alcohols,0.011,Organic acids and derivatives,0.847,Organic phosphonic acids and derivatives,0.681,Organic phosphonic acids,0.61,NA,NA,Organic phosphonic acids,0.61,Organic compounds; Organic acids and derivatives; Organophosphorus compounds; Organic phosphonic acids and derivatives; Organic phosphonic acids; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Chemical entities,139.052,107,1.784,703047523410453800,703045646887215600,NA,6
225,139.07532055116923,2.7506962,46,NA,NA,1,C8H10O2,[M + H]+,C8H11O2+,Shikimates and Phenylpropanoids,0.621,Phenylethanoids (C6-C2),0.791,Phenylethanoids,0.787,Benzenoids,0.838,Phenols,0.673,1-hydroxy-2-unsubstituted benzenoids,0.591,NA,NA,1-hydroxy-2-unsubstituted benzenoids,0.591,Organic compounds; Alcohols and polyols; Phenols; Primary alcohols; Organooxygen compounds; Benzene and substituted derivatives; Benzenoids; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities,139.076,164,2.742,703050090731421400,703045655963690200,NA,225
10,148.0570676929418,1.7986327,NA,NA,NA,3,C4H10BO3P,[M + H]+,C4H11BO3P+,Fatty acids,0.046,Monoterpenoids,0.118,Halogenated fatty acids,0.038,Organic salts,0.955,Organic metal salts,0.94,Organic metalloid salts,0.94,NA,NA,Organic metalloid salts,0.94,Organic compounds; Organic acids and derivatives; Organooxygen compounds; Organophosphorus compounds; Organometallic compounds; Organometalloid compounds; Organoboron compounds; Organic salts; Organic oxides; Organic metalloid salts; Organic metal salts; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,148.057,106,1.77,703047519396503800,703045647189205600,NA,10
528,149.05965729010123,3.2830765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1876,149.05971405092706,5.402877,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1190,151.06646134156944,3.8476846,NA,NA,NA,1,C3H10N4OS,[M + H]+,C3H11N4OS+,Alkaloids,0.58,Histidine alkaloids,0.078,Imidazole alkaloids,0.078,Organoheterocyclic compounds,0.604,Azacyclic compounds,0.61,NA,NA,NA,NA,Azacyclic compounds,0.61,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organonitrogen compounds; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,151.066,231,3.844,703056650803467300,703045680949161900,NA,1190
392,153.0546163586273,3.0434892,NA,NA,NA,1,C8H8O3,[M + H]+,C8H9O3+,Shikimates and Phenylpropanoids,0.963,Phenolic acids (C6-C1),0.991,Simple phenolic acids,0.989,Benzenoids,0.984,Benzene and substituted derivatives,0.966,Benzoic acids and derivatives,0.946,Benzoic acid esters,0.86,Benzoic acid esters,0.86,Organic compounds; Phenols; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Benzoic acid esters; Benzene and substituted derivatives; Benzenoids; Methyl esters; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities,153.054,182,3.038,703053123058088300,703045662586497e3,NA,392
