"Compound_ID","Category","Matched_Size","Homo_sapiens","Human_skin"
"1011","microbes",133,NA,NA
"1011","tissue",85,TRUE,TRUE
"1011","personal care product",7,NA,NA
"1537","food",5,NA,NA
"1537","plants",1,NA,NA
"1537","tissue",561,TRUE,TRUE
"1553","microbes",1,NA,NA
"1553","tissue",89,TRUE,TRUE
"1592","plants",1,NA,NA
"1592","tissue",3045,TRUE,TRUE
"1656","microbes",1,NA,NA
"1656","tissue",25,TRUE,TRUE
"171","microbes",1,NA,NA
"171","plants",83,NA,NA
"171","tissue",160,TRUE,TRUE
"1744","plants",1,NA,NA
"1744","tissue",6,TRUE,TRUE
"1744","personal care product",2,NA,NA
"1782","microbes",12,NA,NA
"1782","tissue",25,TRUE,TRUE
"1835","food",2,NA,NA
"1835","microbes",55,NA,NA
"1835","plants",11,NA,NA
"1835","tissue",752,TRUE,TRUE
"1883","microbes",42,NA,NA
"1883","plants",3,NA,NA
"1883","tissue",334,TRUE,TRUE
"1883","personal care product",32,NA,NA
"1886","tissue",82,TRUE,TRUE
"1886","personal care product",6,NA,NA
"1921","microbes",60,NA,NA
"1921","tissue",486,TRUE,TRUE
"1944","microbes",2,NA,NA
"1944","plants",2,NA,NA
"1944","tissue",355,TRUE,TRUE
"1948","food",1,NA,NA
"1948","microbes",1,NA,NA
"1948","plants",1,NA,NA
"1948","tissue",1286,TRUE,TRUE
"2059","microbes",585,NA,NA
"2059","plants",38,NA,NA
"2059","tissue",1305,TRUE,TRUE
"2069","microbes",76,NA,NA
"2069","plants",1,NA,NA
"2069","tissue",384,TRUE,TRUE
"2069","personal care product",6,NA,NA
"2073","tissue",49,TRUE,TRUE
"2073","personal care product",5,NA,NA
"2077","food",1,NA,NA
"2077","plants",11,NA,NA
"2077","tissue",376,TRUE,TRUE
"2077","personal care product",3,NA,NA
"2080","food",45,NA,NA
"2080","microbes",1,NA,NA
"2080","plants",120,NA,NA
"2080","tissue",160,TRUE,TRUE
"2103","food",1,NA,NA
"2103","microbes",3,NA,NA
"2103","plants",1,NA,NA
"2103","tissue",384,TRUE,TRUE
"2104","food",11,NA,NA
"2104","microbes",29,NA,NA
"2104","plants",7,NA,NA
"2104","tissue",490,TRUE,TRUE
"2105","food",6,NA,NA
"2105","microbes",58,NA,NA
"2105","plants",10,NA,NA
"2105","tissue",553,TRUE,TRUE
"2105","personal care product",8,NA,NA
"2106","food",1,NA,NA
"2106","microbes",2,NA,NA
"2106","plants",6,NA,NA
"2106","tissue",283,TRUE,TRUE
"2109","food",5,NA,NA
"2109","microbes",36,NA,NA
"2109","plants",25,NA,NA
"2109","tissue",497,TRUE,TRUE
"2109","personal care product",1,NA,NA
"2160","food",18,NA,NA
"2160","microbes",227,NA,NA
"2160","plants",12,NA,NA
